,,val_score,val_score,val_score,val_score,val_score,val_score,val_score,val_score
data_name,,class_train,class_train,bias_train,bias_train,multi_train,multi_train,ruddit_train,ruddit_train
clean_name,,clean0,clean1,clean0,clean1,clean0,clean1,clean0,clean1
idf_name,regression_name,,,,,,,,
tfidf0,lgb,0.5917,0.6365,0.5498,0.5363,0.644,0.6365,0.5868,0.5872
tfidf0,mlp,0.6307,0.6496,0.6246,0.6231,0.6537,0.655,0.628,0.617
tfidf0,ridge,0.6722,0.6708,0.6382,0.6403,0.6717,0.6708,0.6324,0.6303
tfidf0,svm,0.6413,0.6568,0.6325,0.6343,0.6607,0.6568,0.6292,0.6299
tfidf1,lgb,0.5921,0.6215,0.5512,0.5439,0.6228,0.6215,0.5808,0.5809
tfidf1,mlp,0.6257,0.6496,0.582,0.5806,0.6416,0.6445,0.6134,0.6124
tfidf1,ridge,0.6357,0.6542,0.5968,0.5969,0.652,0.6542,0.6107,0.6109
tfidf1,svm,0.6279,0.6493,0.5858,0.5863,0.6453,0.6493,0.6128,0.617
tfidf2,lgb,0.6168,0.6157,0.4866,0.5014,0.6168,0.6157,0.5828,0.5829
tfidf2,mlp,0.639,0.6424,0.5703,0.5786,0.6484,0.6459,0.6102,0.608
tfidf2,ridge,0.6351,0.6629,0.5735,0.5731,0.6631,0.6629,0.6189,0.6194
tfidf2,svm,0.654,0.6533,0.5581,0.5587,0.654,0.6533,0.6156,0.6158
tfidf3,lgb,0.6147,0.6144,0.5002,0.4698,0.6147,0.6144,0.5816,0.5825
tfidf3,mlp,0.6489,0.6408,0.5376,0.5586,0.6477,0.6424,0.6006,0.597
tfidf3,ridge,0.6629,0.6637,0.5743,0.5734,0.6629,0.6637,0.6183,0.6185
tfidf3,svm,0.6551,0.6553,0.5584,0.5573,0.6551,0.6553,0.6153,0.6148
